100422;USINA ACUCAREIRA FURLAN S A             ;;G4 ;56723257000126;ROD SP 304, S N                         ;ALAMBARI                 ;13450970;SANTA BARBARA D'OESTE    ;SP ;;
100428;DEDINI S A IND E COMERCIO               ;;G4 ;56617244000172;FAZ SAO LUIZ SETOR A, S N               ;RURAL                    ;13630970;PIRASSUNUNGA             ;SP ;;
100541;ALLTEC QUIMICA LTDA                     ;;G4 ;3515501000107;AV BRIGADEIRO FARIA LIMA, 7527          ;PQ INDUSTRIAL            ;16080751;ARACATUBA                ;SP ;;
100636;USINA ACUCAREIRA GUAIRA LTDA            ;;G4 ;44346583000182;ROD SPV 110 JOAQUIM GARCIA FRANCO, KM 16;FAZENDA ROSARIO          ;14790000;GUAIRA                   ;SP ;;
100640;MERCOQUIMICA DO NORDESTE LTDA           ;;G3 ;3831627000182;FAZ  GAVIAO III, SN                     ;ZONA RURAL               ;57690000;ATALAIA                  ;AL ;;
100651;CIA ENERGETICA SANTA ELISA              ;;G4 ;2300261000152;ROD ARMANDO S OLIV KM 346,3             ;ZONA RURAL               ;14160000;SERTAOZINHO              ;SP ;;
100655;USINA IPIRANGA AC ALCOOL LTDA           ;;G4 ;47544176000259;FAZ STA EMILIA, SN                      ;ZONA RURAL               ;13730010;MOCOCA                   ;SP ;;
100660;VIRGOLINO DE OLIVEIRA SA AC ALCOOL      ;;G4 ;49911589000411;AV COM  VIRGOLINO DE OLIVEIRA, S N      ;RURAL                    ;13972170;ITAPIRA                  ;SP ;;
100687;USINA IPIRANGA AC ALCOOL LTDA           ;;G4 ;47544176000178;FAZ BOA VISTA GDE, SN                   ;ZONA RURAL               ;13690000;DESCALVADO               ;SP ;;
100869;TECMATIZ QUIMICA INDUSTRIAL LTDA        ;;G4 ;1060172000113;RUA ROSA MAFEI, 620                     ;BONSUCESSO               ;7177110;GUARULHOS                ;SP ;;
100889;CENTER ROYAL QUIMICA INDL LTDA          ;;G4 ;55625750000140;RUA JOSE ANTONIO TERUEL,110             ;MINI DIS INDUSTRIAL      ;16080310;ARACATUBA                ;SP ;;
100897;BRASCOMPANY COML EXPORTADORA LTDA       ;;G4 ;60809662000139;AV VEREADOR JOSE DINIZ, 3720            ;CAMPO BELO               ;4604007;SAO PAULO                ;SP ;;
100910;SERQUIMICA IND COM PROD QUIM LTDA       ;;G4 ;6027000191;RUA BRAZ PASCHOAL, 166                  ;VILA INDUSTRIAL          ;14177010;SERTAOZINHO              ;SP ;;
100942;USINA ALTA MOGIANA S A AC E ALCOOL      ;;G4 ;53009825000133;FAZ SANTANA ROD PREF F TALARICO KM89, SN;ZONA RURAL               ;14600000;SAO JOAQUIM DA BARRA     ;SP ;;
100946;PARAISO BIOENERGIA LTDA                 ;;G4 ;46363016000160;FAZ PARAISO, S N                        ;ZONA RURAL               ;17380000;BROTAS                   ;SP ;;
100955;ACUCAREIRA ZILLO LORENZETTI S A         ;;G4 ;51422988002161;RUA USINA S JOSE, S N                   ;ZONA RURAL               ;17290000;MACATUBA                 ;SP ;;
100965;PEDRA AGROINDUSTRIAL SA                 ;;G4 ;71304687000105;USINA DA PEDRA CX P 02, SN              ;ZONA RURAL               ;14150970;SERRANA                  ;SP ;;
100967;J PILON S A ACUCAR E ALCOOL             ;;G4 ;47254396000167;RUA FAZENDA SANTA MARIA, S N            ;SAO FRANCISCO            ;18520000;CERQUILHO                ;SP ;;
100969;ART ARA TROP INDL COML IMP EXP LTDA     ;;G4 ;01678475000285;VIA ANHANGUERA, KM 327,7                ;ZONA RURAL               ;14680000;JARDINOPOLIS             ;SP ;;
