Fornecedor;codigo;produto;unidade;N. Nf;Data Nf;N. Lote;Dt. Fabr;Dt. Venc; Atv. Kamoran; Saldo Kg;Tipo 
CROSS FILTER BRASIL LTDA                ;100003;HYFLO SUPER CEL CELITE                  ;Kg;29773;19/04/2023;CF230233;2023-03-31;2028-03-31;;28.612;Uso Geral; 
CROSS FILTER BRASIL LTDA                ;100003;HYFLO SUPER CEL CELITE                  ;Kg;30235;31/07/2023;CF230441;2023-07-03;2028-07-03;;1520.900;Uso Geral; 
G R INDUSTRIA COMERCIO TRANSPORTES PRODU;100008;ACIDO SULFURICO 98%                     ;Kg;5837;17/09/2021;3070000026483;2021-08-10;2023-12-10;;38.497;Uso Geral; 
QUIMICA MODERNA INDUSTRIA E COMERCIO EIR;100014;ACIDO CITRICO                           ;Kg;39217;05/03/2020;09220;2020-02-01;2025-02-01;;0.100;Amostra; 
VACCINAR INDUSTRIA E COMERCIO LTDA      ;100014;ACIDO CITRICO                           ;KG;9999;05/03/2020;36382;2019-09-11;2024-03-11;;0.394;Amostra; 
ELLOS COMERCIO E REPRES. PROD. QUIMICOS LTDA    ;100018;ANTI ESPUMA (O-FOAM)                    ;Kg;2116;25/05/2023;9160;2023-06-01;2024-06-01;;16.705;Uso Geral; 
QUIMICA MODERNA INDUSTRIA E COMERCIO EIR;100019;FOSFATO DISSODICO                       ;Kg;39217;05/03/2020;08948;2019-11-01;2024-11-01;;0.193;Amostra; 
NEON COMERCIAL REAGENTES ANALITICOS LTDA;100019;FOSFATO DISSODICO                       ;Kg;93578;06/03/2020;49308;2019-08-24;2024-08-22;;0.500;Amostra; 
METALLOYS E CHEMICALS COMERCIAL LTDA    ;100050;PROPILENOGLICOL 100%                    ;Kg;261268;01/09/2023;1P03-202211118;2022-11-18;2024-11-17;;163.526;Uso Geral; 
MIRACEMA-NUODEX INDUSTRIA QUIMICA LTDA  ;100055;LIOCIDE BT 20                           ;Kg;206795;09/08/2023;23H0261;2023-08-08;2024-08-07;;132.123;Uso Geral; 
MIRACEMA-NUODEX INDUSTRIA QUIMICA LTDA  ;100055;LIOCIDE BT 20                           ;Kg;210996;24/11/2023;23K0999;2023-11-23;2024-11-22;;250.000;Uso Geral; 
QUIMICA REAL LTDA                       ;100060;AGUA OXIGENADA PEROXIDO HIDROGENIO 50%  ;Kg;9999;18/04/2018;9999;2018-04-18;2024-04-18;;188.400;Uso Geral; 
METALLOYS E CHEMICALS COMERCIAL LTDA    ;100090;CLORETO DE ZINCO ANIDRO                 ;Kg;258368;26/07/2023;ZTL2023023;2023-03-08;2025-03-07;;555.000;Uso Geral; 
