 5186;ABENGOA BIOENERGIA AGROINDUSTRIA LTDA           ;ABENGOA             ;SP007;06252818003799;FAZ. LAGOA FORMOSA SN SETOR 2 KM 15     ;ZONA RURAL          ;13870672;SAO JOAO BOA VISTA  ;SP;ABENGOA - LAGOA FORMOSA                         ;01935655555;
 4838;ABENGOA BIOENERGIA AGROINDUSTRIAL LTDA          ;ABENGOA             ;SP007;06252818003446;FAZ.SAO LUIZ S/N SETOR-A                ;ZONA RURAL          ;13630970;PIRASSUNUNGA        ;SP;ABENGOA - SAO LUIZ                              ;01935655555;
 3456;ABM COMERCIO INTERNACIONAL LTDA                 ;NENHUM              ;SP001;62390588000194;AV ANTONIO CARLOS COUTO BARROS 964 CJ 5 ;DISTRITO DE SOUSAS  ;13105000;CAMPINAS            ;SP;ABM COMERCIO INTERNACIONAL LTDA                 ;01932585020;
 2579;ACUCAR E ALCOOL BANDEIRANTES S/A                ;NENHUM              ;PR004;75619056000128;ROD. BR 369 KM 53 S/N                   ;AGUA DO CAIXAO      ;86360000;BANDEIRANTES        ;PR;BANDEIRANTES                                    ;04335428700;
 2655;ACUCAR E ALCOOL OSWALDO RIBEIRO DE MENDONCA LTDA;COLORADO            ;SP010;51990778000126;FAZ.SAO JOSE DA GLORIA ROD.SP 425 KM 47 ;ZONA RURAL          ;14790000;GUAIRA              ;SP;COLORADO                                        ;01733303377;
   10;ACUCAREIRA QUATA S/A                            ;ZILLOR              ;SP001;60855574001307;FAZENDA QUATA                           ;ZONA RURAL          ;19780800;QUATA               ;SP;QUATA                                           ;01402699062;
 3894;ACUCAREIRA VIRGOLINO DE OLIVEIRA S/A            ;VIRGOLINO           ;SP009;07024792000183;FAZENDA CANOAS                          ;ZONA RURAL          ;15200000;JOSE BONIFACIO      ;SP;VIRGOLINO DE OLIVEIRA                           ;01732659800;
 4661;ACUCAREIRA VIRGOLINO DE OLIVEIRA S/A            ;VIRGOLINO           ;SP009;07024792000264;FAZENDA GIULIA, S/N                     ;ZONA RURAL          ;15275000;MONCOES             ;SP;VIRGOLINO DE OLIVEIRA - UNIDADE MONCOES         ;01734849400;
  105;ACUCAREIRA ZILLO LORENZETTI                     ;ZILLOR              ;SP001;51422988002161;USINA SAO JOSE S/N                      ;ZONA RURAL          ;17290000;MACATUBA            ;SP;SAO JOSE ZL                                     ;01432699062;
 5169;ADAMANTIUM DESTILARIA LTDA                      ;NENHUM              ;SP001;62890199000128;ESTR BRI 070 S/N KM 03                  ;PALMITAL            ;17250000;BARIRI              ;SP;ADAMANTIUM DESTILARIA LTDA                      ;01436522697;
 4681;ADECOAGRO VALE DO IVINHEMA S.A.                 ;ADECOAGRO           ;MS003;07903169000109;ESTR.CONTINENTAL KM15 S/N FAZ. TAKUARE  ;ZONA RURAL          ;79785000;ANGELICA            ;MS;ADECOAGRO VALE DO IVINHEMA S.A.                 ;06734462234;
 5064;ADECOAGRO VALE DO IVINHEMA S.A.                 ;ADECOAGRO           ;MS003;07903169001768;ROD MS 141 KM 10 FAZ CARMEN GLB UBIRATA ;ZONA RURAL          ;79740000;IVINHEMA            ;MS;ADECOAGRO                                       ;06734462200;
 5042;AGRISA AGRO INDUSTRIAL SAO JOAO S/A             ;NENHUM              ;RJ001;28851889000210;EST DOS TAMOIOS, S/N                    ;SEGUNDO DIST.TAMOIOS;28927000;CABO FRIO           ;RJ;AGRISA                                          ;02220203810;
 4805;AGRO ENERGIA SANTA LUZIA S.A. EM REC.JUDICIAL   ;ATVOS               ;MS003;08906558000142;ROD.BR 267 KM 231 -FAZENDA SAO SEBASTIAO;ZONA RURAL          ;79140000;NOVA ALVORADA DO SUL;MS;SANTA LUZIA                                     ;06734564681;
 4747;AGRO INDUSTRIAL CAMPO LINDO LTDA                ;NENHUM              ;NE001;07454414000130;EST.MUNIC.NOSSA SRA.DAS DORES S/N KM 07 ;POVOADO FLORESTA    ;49600000;NOSSA SRA.DAS DORES ;SE;CAMPO LINDO                                     ;07921064200;
 4798;AGRO INDUSTRIAL CAPELA LTDA                     ;NENHUM              ;NE003;07461344000147;POVOADO MIRANDA                         ;ZONA RURAL          ;49700000;CAPELA              ;SE;TAQUARI                                         ;07932639100;
 2388;AGRO INDUSTRIAL TABU S/A                        ;NENHUM              ;NE002;09053646000101;FAZENDA TABU, S/N                       ;ZONA RURAL          ;58326000;CAAPORA             ;PB;TABU                                            ;08332862900;
 2928;AGRO INDUSTRIAL TARUMA LTDA                     ;NENHUM              ;SP001;00223284000185;ROD.SEBASTIAO TEIXEIRA COELHO KM 04     ;TARUMA              ;18940000;SAO PEDRO DO TURVO  ;SP;CEREALCOOL                                      ;01433771518;
 5149;AGRO INDUSTRIAL VALE DO AMARAJI LTDA            ;NENHUM              ;NE002;19375269000180;FAZENDA MONTIVIDEU, S/N                 ;ZONA RURAL          ;55515000;AMARAJI             ;PE;AGRO AMARAJI                                    ;08135531025;
 5067;AGRO INDUSTRIAS DO VALE S.FRANCISCO SA AGROVALE ;NENHUM              ;NE003;13642699000135;FAZENDA MASSAYO S/N                     ;ZONA RURAL          ;48903970;JUAZEIRO            ;BA;MANDACARU                                       ;07436122936;
